mode,nominal_missing_rate,position,n,accuracy,macro_f1,mae,pearson,negative_f1,neutral_f1,positive_f1,observed_missing_text,observed_missing_audio,observed_missing_vision
audio+vision,0.1,start,728,0.6346153846153846,0.5982185211157174,0.5965307950973511,0.6407410985064483,0.6781326781326781,0.40498442367601245,0.7115384615384616,0.0,0.10189186032932383,0.10245800395256917
audio+vision,0.1,middle,728,0.6318681318681318,0.5936455808376991,0.596458911895752,0.6412481514888896,0.6798029556650246,0.39365079365079364,0.7074829931972789,0.0,0.10189186032932383,0.10221096837944664
audio+vision,0.1,end,728,0.6346153846153846,0.5971817201072148,0.5973029732704163,0.6399508496250064,0.6829268292682927,0.4,0.7086183310533516,0.0,0.10200864183113395,0.100975790513834
audio+vision,0.3,start,728,0.6346153846153846,0.5998764597023062,0.5948500037193298,0.6428065537676453,0.684596577017115,0.4049079754601227,0.710124826629681,0.0,0.2996029428938456,0.3011981225296443
audio+vision,0.3,middle,728,0.6236263736263736,0.5848579392271129,0.5972246527671814,0.6416421574200324,0.674937965260546,0.3785488958990536,0.7010869565217391,0.0,0.2996029428938456,0.3005187747035573
audio+vision,0.3,end,728,0.6332417582417582,0.5967804684981588,0.5969460010528564,0.6372325229729364,0.6797066014669927,0.4037854889589905,0.7068493150684931,0.0,0.29971972439565575,0.2972455533596838
audio+vision,0.5,start,728,0.6291208791208791,0.5979134168637514,0.5964361429214478,0.6444974474698041,0.6862745098039216,0.40718562874251496,0.7002801120448179,0.0,0.4994744832418545,0.5020380434782609
audio+vision,0.5,middle,728,0.6236263736263736,0.5823253606296,0.5966036319732666,0.6420449782861566,0.6733167082294265,0.3682539682539683,0.7054054054054054,0.0,0.4994744832418545,0.5005558300395256
audio+vision,0.5,end,728,0.6387362637362637,0.6005086108849266,0.5957573056221008,0.6352149525839114,0.6763990267639902,0.41025641025641024,0.7148703956343793,0.0,0.4995912647436646,0.4971590909090909
text+audio+vision,0.1,start,728,0.625,0.5840761608875685,0.6130800247192383,0.6210649062465622,0.6384039900249376,0.4012738853503185,0.7125506072874493,0.10191008618681574,0.10189186032932383,0.10245800395256917
text+audio+vision,0.1,middle,728,0.6304945054945055,0.5934905773803317,0.6033666133880615,0.6269461892409425,0.6797066014669927,0.39375,0.7070151306740028,0.10191008618681574,0.10189186032932383,0.10221096837944664
text+audio+vision,0.1,end,728,0.6263736263736264,0.5952457357606215,0.609774649143219,0.5955723880145918,0.6650366748166259,0.42042042042042044,0.7002801120448179,0.10191008618681574,0.10200864183113395,0.100975790513834
text+audio+vision,0.3,start,728,0.6002747252747253,0.553478217822187,0.6321099400520325,0.5815980030516611,0.6277372262773723,0.33986928104575165,0.6928281461434371,0.2996156533892383,0.2996029428938456,0.3011981225296443
text+audio+vision,0.3,middle,728,0.603021978021978,0.5704486972172617,0.6213728785514832,0.5765230386175473,0.6243654822335025,0.4,0.6869806094182825,0.2996156533892383,0.2996029428938456,0.3005187747035573
text+audio+vision,0.3,end,728,0.5906593406593407,0.5634465928348784,0.625653862953186,0.5821810434144802,0.6384039900249376,0.38526912181303113,0.6666666666666666,0.2996156533892383,0.29971972439565575,0.2972455533596838
text+audio+vision,0.5,start,728,0.5879120879120879,0.5475075974384088,0.6527893543243408,0.5376197617793377,0.5970873786407767,0.3659305993690852,0.6795048143053645,0.49953412532028885,0.4994744832418545,0.5020380434782609
text+audio+vision,0.5,middle,728,0.5796703296703297,0.5454570976060936,0.6507053375244141,0.5238782346319913,0.5669291338582677,0.3898305084745763,0.6796116504854369,0.49953412532028885,0.4994744832418545,0.5005558300395256
text+audio+vision,0.5,end,728,0.5563186813186813,0.5353172858120088,0.655553936958313,0.5011260634781056,0.575197889182058,0.3958333333333333,0.6349206349206349,0.49953412532028885,0.4995912647436646,0.4971590909090909
